order_id,order_date,customer_id,customer_segment,country,product_category,product_name,unit_price,quantity,total_amount,discount_applied,net_amount,payment_method,order_status
1,2023-01-01 00:00:00,4174,Small Business,Nigeria,Electronics,Skincare Kit,1336.74,2,2673.48,15,2272.46,Mobile Money,Completed
2,2023-01-01 01:00:00,4507,Corporate,Nigeria,Fashion,Laptop,708.4,1,708.4,10,637.56,Bank Transfer,Completed
3,2023-01-01 02:00:00,1860,Consumer,South Africa,Home & Living,Sneakers,301.56,1,301.56,5,286.48,Bank Transfer,Cancelled
4,2023-01-01 03:00:00,2294,Corporate,South Africa,Fashion,Sneakers,148.65,4,594.6,15,505.41,Bank Transfer,Returned
5,2023-01-01 04:00:00,2130,Small Business,South Africa,Beauty,Laptop,1416.45,1,1416.45,5,1345.63,Card,Completed
6,2023-01-01 05:00:00,2095,Corporate,South Africa,Sports,Sneakers,1117.08,4,4468.32,10,4021.49,Bank Transfer,Cancelled
7,2023-01-01 06:00:00,4772,Small Business,Nigeria,Electronics,Laptop,476.32,3,1428.96,15,1214.62,Bank Transfer,Completed
8,2023-01-01 07:00:00,4092,Small Business,Nigeria,Home & Living,Blender,450.08,2,900.16,15,765.14,Card,Completed
9,2023-01-01 08:00:00,2638,Corporate,South Africa,Electronics,Laptop,1343.88,1,1343.88,10,1209.49,Bank Transfer,Completed
10,2023-01-01 09:00:00,3169,Consumer,South Africa,Beauty,Blender,274.58,5,1372.9,10,1235.61,Mobile Money,Completed
11,2023-01-01 10:00:00,1466,Corporate,Nigeria,Beauty,Skincare Kit,807.21,2,1614.42,15,1372.26,Mobile Money,Cancelled
12,2023-01-01 11:00:00,2238,Consumer,South Africa,Beauty,Skincare Kit,1073.12,4,4292.48,0,4292.48,Mobile Money,Completed
13,2023-01-01 12:00:00,1330,Consumer,South Africa,Beauty,Sneakers,600.62,2,1201.24,5,1141.18,Card,Completed
14,2023-01-01 13:00:00,2482,Corporate,South Africa,Sports,Treadmill,69.45,2,138.9,0,138.9,Bank Transfer,Completed
15,2023-01-01 14:00:00,3135,Consumer,South Africa,Fashion,Treadmill,349.36,1,349.36,15,296.96,Mobile Money,Completed
16,2023-01-01 15:00:00,4444,Consumer,Ghana,Fashion,Laptop,1353.69,5,6768.45,0,6768.45,Card,Completed
17,2023-01-01 16:00:00,4171,Corporate,South Africa,Sports,Blender,789.45,3,2368.35,10,2131.52,Card,Completed
18,2023-01-01 17:00:00,3919,Corporate,Nigeria,Fashion,Skincare Kit,1225.01,5,6125.05,5,5818.8,Card,Completed
19,2023-01-01 18:00:00,4735,Corporate,Nigeria,Beauty,Skincare Kit,837.97,4,3351.88,10,3016.69,Card,Completed
20,2023-01-01 19:00:00,1130,Consumer,Nigeria,Fashion,Skincare Kit,1415.97,5,7079.85,10,6371.87,Card,Completed
21,2023-01-01 20:00:00,2685,Small Business,Nigeria,Electronics,Sneakers,1364.61,5,6823.05,10,6140.74,Mobile Money,Completed
22,2023-01-01 21:00:00,4380,Consumer,South Africa,Fashion,Skincare Kit,729.5,4,2918.0,10,2626.2,Card,Completed
23,2023-01-01 22:00:00,1769,Small Business,Ghana,Electronics,Treadmill,484.23,5,2421.15,5,2300.09,Bank Transfer,Completed
24,2023-01-01 23:00:00,3391,Corporate,Kenya,Home & Living,Smartphone,906.49,3,2719.47,15,2311.55,Mobile Money,Completed
25,2023-01-02 00:00:00,2515,Small Business,Kenya,Electronics,Sneakers,1015.58,2,2031.16,15,1726.49,Card,Completed
26,2023-01-02 01:00:00,4485,Corporate,Kenya,Electronics,Laptop,752.55,3,2257.65,5,2144.77,Mobile Money,Completed
27,2023-01-02 02:00:00,3853,Corporate,Kenya,Beauty,Smartphone,1235.2,2,2470.4,10,2223.36,Mobile Money,Completed
28,2023-01-02 03:00:00,3433,Small Business,Nigeria,Beauty,Sneakers,283.16,2,566.32,0,566.32,Bank Transfer,Returned
29,2023-01-02 04:00:00,2215,Corporate,South Africa,Beauty,Sneakers,508.27,5,2541.35,15,2160.15,Card,Completed
30,2023-01-02 05:00:00,1955,Small Business,South Africa,Electronics,Blender,1032.7,2,2065.4,10,1858.86,Bank Transfer,Completed
31,2023-01-02 06:00:00,3324,Corporate,Kenya,Sports,Smartphone,377.56,4,1510.24,0,1510.24,Card,Completed
32,2023-01-02 07:00:00,2184,Consumer,Kenya,Beauty,Smartphone,665.37,3,1996.11,0,1996.11,Card,Completed
33,2023-01-02 08:00:00,1459,Consumer,Ghana,Beauty,Treadmill,1445.96,2,2891.92,10,2602.73,Mobile Money,Completed
34,2023-01-02 09:00:00,4385,Corporate,Ghana,Electronics,Smartphone,942.56,5,4712.8,5,4477.16,Card,Completed
35,2023-01-02 10:00:00,1021,Corporate,Ghana,Home & Living,Skincare Kit,1424.1,5,7120.5,10,6408.45,Mobile Money,Completed
36,2023-01-02 11:00:00,3300,Small Business,Nigeria,Home & Living,Treadmill,1086.44,5,5432.2,5,5160.59,Bank Transfer,Completed
37,2023-01-02 12:00:00,1747,Consumer,South Africa,Fashion,Skincare Kit,1089.75,1,1089.75,0,1089.75,Card,Completed
38,2023-01-02 13:00:00,3904,Small Business,Nigeria,Home & Living,Treadmill,891.87,3,2675.61,15,2274.27,Card,Completed
39,2023-01-02 14:00:00,4632,Corporate,Nigeria,Beauty,Laptop,221.89,5,1109.45,5,1053.98,Bank Transfer,Completed
40,2023-01-02 15:00:00,1474,Corporate,South Africa,Sports,Treadmill,784.37,4,3137.48,5,2980.61,Bank Transfer,Completed
41,2023-01-02 16:00:00,2082,Small Business,Ghana,Fashion,Laptop,386.47,5,1932.35,5,1835.73,Mobile Money,Returned
42,2023-01-02 17:00:00,3558,Corporate,South Africa,Sports,Treadmill,1498.02,1,1498.02,15,1273.32,Bank Transfer,Completed
43,2023-01-02 18:00:00,4753,Consumer,Kenya,Sports,Laptop,407.77,3,1223.31,10,1100.98,Card,Cancelled
44,2023-01-02 19:00:00,3047,Small Business,Ghana,Beauty,Skincare Kit,353.72,2,707.44,0,707.44,Mobile Money,Completed
45,2023-01-02 20:00:00,4547,Consumer,South Africa,Electronics,Treadmill,939.59,3,2818.77,0,2818.77,Bank Transfer,Returned
46,2023-01-02 21:00:00,3747,Consumer,Nigeria,Electronics,Blender,771.31,2,1542.62,5,1465.49,Card,Completed
47,2023-01-02 22:00:00,1975,Consumer,South Africa,Electronics,Treadmill,41.82,2,83.64,0,83.64,Card,Returned
48,2023-01-02 23:00:00,2806,Small Business,Ghana,Home & Living,Laptop,203.0,5,1015.0,5,964.25,Card,Completed
49,2023-01-03 00:00:00,1189,Corporate,Kenya,Electronics,Sneakers,1218.45,4,4873.8,15,4142.73,Bank Transfer,Completed
50,2023-01-03 01:00:00,4005,Consumer,Nigeria,Beauty,Skincare Kit,730.7,4,2922.8,5,2776.66,Mobile Money,Completed
51,2023-01-03 02:00:00,3734,Consumer,Kenya,Home & Living,Blender,227.56,5,1137.8,15,967.13,Bank Transfer,Completed
52,2023-01-03 03:00:00,4005,Consumer,Kenya,Electronics,Sneakers,703.21,1,703.21,5,668.05,Mobile Money,Completed
53,2023-01-03 04:00:00,1562,Corporate,Nigeria,Sports,Sneakers,387.19,2,774.38,5,735.66,Bank Transfer,Returned
54,2023-01-03 05:00:00,2899,Corporate,South Africa,Beauty,Skincare Kit,343.15,4,1372.6,15,1166.71,Card,Completed
55,2023-01-03 06:00:00,4638,Small Business,South Africa,Beauty,Treadmill,1437.01,3,4311.03,10,3879.93,Bank Transfer,Completed
56,2023-01-03 07:00:00,2267,Corporate,Kenya,Fashion,Smartphone,549.42,1,549.42,15,467.01,Mobile Money,Completed
57,2023-01-03 08:00:00,3879,Small Business,South Africa,Beauty,Blender,79.18,5,395.9,5,376.1,Bank Transfer,Returned
58,2023-01-03 09:00:00,2528,Small Business,Ghana,Sports,Treadmill,1455.79,1,1455.79,0,1455.79,Mobile Money,Completed
59,2023-01-03 10:00:00,4202,Small Business,Kenya,Beauty,Skincare Kit,1194.31,4,4777.24,10,4299.52,Bank Transfer,Completed
60,2023-01-03 11:00:00,4556,Small Business,Kenya,Fashion,Smartphone,389.08,5,1945.4,0,1945.4,Mobile Money,Cancelled
61,2023-01-03 12:00:00,4890,Small Business,Kenya,Beauty,Skincare Kit,619.25,4,2477.0,10,2229.3,Card,Returned
62,2023-01-03 13:00:00,1646,Consumer,Ghana,Beauty,Skincare Kit,1294.81,2,2589.62,5,2460.14,Card,Completed
63,2023-01-03 14:00:00,3068,Corporate,Kenya,Fashion,Sneakers,542.55,1,542.55,10,488.29,Mobile Money,Returned
64,2023-01-03 15:00:00,3888,Consumer,South Africa,Beauty,Treadmill,855.43,2,1710.86,0,1710.86,Card,Cancelled
65,2023-01-03 16:00:00,3214,Small Business,South Africa,Home & Living,Skincare Kit,806.94,3,2420.82,15,2057.7,Mobile Money,Completed
66,2023-01-03 17:00:00,2297,Corporate,South Africa,Beauty,Treadmill,607.93,2,1215.86,10,1094.27,Mobile Money,Completed
67,2023-01-03 18:00:00,3435,Consumer,South Africa,Electronics,Smartphone,962.86,1,962.86,10,866.57,Card,Returned
68,2023-01-03 19:00:00,1600,Consumer,Kenya,Electronics,Sneakers,715.2,3,2145.6,5,2038.32,Bank Transfer,Completed
69,2023-01-03 20:00:00,3363,Small Business,Ghana,Home & Living,Smartphone,41.63,4,166.52,5,158.19,Mobile Money,Cancelled
70,2023-01-03 21:00:00,3061,Consumer,Nigeria,Beauty,Smartphone,1223.43,3,3670.29,10,3303.26,Bank Transfer,Completed
